date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,date_num
2015-01-01,1,sewing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59,0.940725424,1
2015-01-01,1,finishing,Thursday,1,0.75,3.94,0.0,960,0,0.0,0,0,8,0.8865,1
2015-01-01,1,sewing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30,0.800570492,1
2015-01-01,1,sewing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30,0.800570492,1
2015-01-01,1,sewing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56,0.800381944,1
2015-01-01,1,sewing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56,0.800125,1
2015-01-01,1,finishing,Thursday,2,0.75,3.94,0.0,960,0,0.0,0,0,8,0.755166667,1
2015-01-01,1,sewing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57,0.753683478,1
2015-01-01,1,sewing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55,0.753097531,1
2015-01-01,1,sewing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57,0.750427826,1
2015-01-01,1,sewing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57,0.721126957,1
2015-01-01,1,sewing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54,0.712205247,1
2015-01-01,1,sewing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30,0.707045902,1
2015-01-01,1,finishing,Thursday,10,0.65,3.94,0.0,960,0,0.0,0,0,8,0.705916667,1
2015-01-01,1,finishing,Thursday,8,0.75,2.9,0.0,960,0,0.0,0,0,8,0.676666667,1
2015-01-01,1,finishing,Thursday,4,0.75,3.94,0.0,2160,0,0.0,0,0,18,0.593055556,1
2015-01-01,1,finishing,Thursday,7,0.8,2.9,0.0,960,0,0.0,0,0,8,0.540729167,1
2015-01-01,1,sewing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60,0.52118,1
2015-01-01,1,finishing,Thursday,11,0.7,4.15,0.0,1440,0,0.0,0,0,12,0.436326389,1
2015-01-03,1,finishing,Saturday,4,0.8,4.15,0.0,6600,0,0.0,0,0,20,0.988024691,3
2015-01-03,1,finishing,Saturday,11,0.75,2.9,0.0,5640,0,0.0,0,0,17,0.987880435,3
2015-01-03,1,finishing,Saturday,9,0.8,4.15,0.0,960,0,0.0,0,0,8,0.956270833,3
2015-01-03,1,finishing,Saturday,3,0.75,3.94,0.0,1560,0,0.0,0,0,8,0.945277778,3
2015-01-03,1,finishing,Saturday,1,0.8,3.94,0.0,960,0,0.0,0,0,8,0.902916667,3
2015-01-03,1,sewing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56,0.800725314,3
2015-01-03,1,sewing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54,0.800322936,3
2015-01-03,1,sewing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59,0.800318644,3
2015-01-03,1,sewing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59,0.800318644,3
2015-01-03,1,sewing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29,0.800237288,3
2015-01-03,1,sewing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31,0.800148649,3
2015-01-03,1,sewing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56,0.800125,3
2015-01-03,1,sewing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56,0.800125,3
2015-01-03,1,sewing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54,0.787299691,3
2015-01-03,1,finishing,Saturday,2,0.8,4.15,0.0,960,0,0.0,0,0,8,0.782447917,3
2015-01-03,1,sewing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55,0.75024303,3
2015-01-03,1,finishing,Saturday,10,0.7,4.15,0.0,960,0,0.0,0,0,8,0.7018125,3
2015-01-03,1,sewing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60,0.700134038,3
2015-01-03,1,sewing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57,0.699965217,3
2015-01-03,1,finishing,Saturday,8,0.8,2.9,0.0,960,0,0.0,0,0,8,0.628333333,3
2015-01-03,1,finishing,Saturday,7,0.8,3.94,0.0,960,0,0.0,0,0,8,0.6253125,3
2015-01-04,1,finishing,Sunday,3,0.75,4.15,0.0,1560,0,0.0,0,0,8,0.991388889,4
2015-01-04,1,finishing,Sunday,9,0.8,3.94,0.0,960,0,0.0,0,0,8,0.931645833,4
2015-01-04,1,finishing,Sunday,1,0.8,3.94,0.0,960,0,0.0,0,0,8,0.915229167,4
2015-01-04,1,sewing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31,0.879714482,4
2015-01-04,1,finishing,Sunday,4,0.8,3.94,0.0,6600,0,0.0,0,0,20,0.861679012,4
2015-01-04,1,sewing,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59,0.850569492,4
